"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Delete File","tests.files","Fri Mar 20 19:50:07 UTC 2026","passed","Fri Mar 20 19:50:07 UTC 2026","TestFiles","test_files","",""
"","269","Create File","tests.files","Fri Mar 20 19:50:04 UTC 2026","passed","Fri Mar 20 19:50:05 UTC 2026","TestFiles","test_files","",""
"","13","Get File","tests.files","Fri Mar 20 19:50:05 UTC 2026","passed","Fri Mar 20 19:50:05 UTC 2026","TestFiles","test_files","",""
"","267","Create File with Empty Filename","tests.files","Fri Mar 20 19:50:05 UTC 2026","passed","Fri Mar 20 19:50:06 UTC 2026","TestFiles","test_files","",""
"","14","Get User Me","tests.users","Fri Mar 20 19:50:08 UTC 2026","passed","Fri Mar 20 19:50:08 UTC 2026","TestUsers","test_users","",""
"","314","Update course","tests.courses","Fri Mar 20 19:50:02 UTC 2026","passed","Fri Mar 20 19:50:03 UTC 2026","TestCourses","test_courses","",""
"","31","Get courses","tests.courses","Fri Mar 20 19:50:03 UTC 2026","passed","Fri Mar 20 19:50:03 UTC 2026","TestCourses","test_courses","",""
"","254","Get File with Invalid File Id","tests.files","Fri Mar 20 19:50:07 UTC 2026","passed","Fri Mar 20 19:50:07 UTC 2026","TestFiles","test_files","",""
"","1","Create course","tests.courses","Fri Mar 20 19:50:04 UTC 2026","passed","Fri Mar 20 19:50:04 UTC 2026","TestCourses","test_courses","",""
"","528","Create User","tests.users","Fri Mar 20 19:50:07 UTC 2026","passed","Fri Mar 20 19:50:07 UTC 2026","TestUsers","test_users","",""
"","261","Create File with Empty Directory","tests.files","Fri Mar 20 19:50:06 UTC 2026","skipped","Fri Mar 20 19:50:06 UTC 2026","TestFiles","test_files","",""
"","552","Login with email and password","tests.authentication","Fri Mar 20 19:50:02 UTC 2026","passed","Fri Mar 20 19:50:02 UTC 2026","TestAuthentication","test_authentication","",""
