"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Delete File","tests.files","Tue Mar 17 08:53:00 UTC 2026","passed","Tue Mar 17 08:53:00 UTC 2026","TestFiles","test_files","",""
"","303","Get courses","tests.courses","Tue Mar 17 08:52:56 UTC 2026","passed","Tue Mar 17 08:52:57 UTC 2026","TestCourses","test_courses","",""
"","285","Login with email and password","tests.authentication","Tue Mar 17 08:52:55 UTC 2026","passed","Tue Mar 17 08:52:55 UTC 2026","TestAuthentication","test_authentication","",""
"","0","test_login","tests.pytest","Tue Mar 17 08:53:01 UTC 2026","passed","Tue Mar 17 08:53:01 UTC 2026","TestUserAuthentication","test_pytest_markers","",""
"","517","Create User","tests.users","Tue Mar 17 08:53:00 UTC 2026","passed","Tue Mar 17 08:53:01 UTC 2026","TestUsers","test_users","",""
"","16","Get File","tests.files","Tue Mar 17 08:52:59 UTC 2026","passed","Tue Mar 17 08:52:59 UTC 2026","TestFiles","test_files","",""
"","0","test_password_reset","tests.pytest","Tue Mar 17 08:53:00 UTC 2026","passed","Tue Mar 17 08:53:00 UTC 2026","TestUserAuthentication","test_pytest_markers","",""
"","306","Update course","tests.courses","Tue Mar 17 08:52:56 UTC 2026","passed","Tue Mar 17 08:52:56 UTC 2026","TestCourses","test_courses","",""
"","0","test_forgot_password","tests.pytest","Tue Mar 17 08:53:00 UTC 2026","passed","Tue Mar 17 08:53:00 UTC 2026","TestUserInterface","test_pytest_markers","",""
"","261","Create File with Empty Directory","tests.files","Tue Mar 17 08:52:59 UTC 2026","skipped","Tue Mar 17 08:52:59 UTC 2026","TestFiles","test_files","",""
"","1","Create course","tests.courses","Tue Mar 17 08:52:57 UTC 2026","passed","Tue Mar 17 08:52:57 UTC 2026","TestCourses","test_courses","",""
"","0","test_regression_case","tests.pytest","Tue Mar 17 08:53:00 UTC 2026","passed","Tue Mar 17 08:53:00 UTC 2026","","test_pytest_markers","",""
"","266","Create File","tests.files","Tue Mar 17 08:52:57 UTC 2026","passed","Tue Mar 17 08:52:58 UTC 2026","TestFiles","test_files","",""
"","264","Get File with Invalid File Id","tests.files","Tue Mar 17 08:53:00 UTC 2026","passed","Tue Mar 17 08:53:01 UTC 2026","TestFiles","test_files","",""
"","272","Create File with Empty Filename","tests.files","Tue Mar 17 08:52:58 UTC 2026","passed","Tue Mar 17 08:52:58 UTC 2026","TestFiles","test_files","",""
"","0","test_logout","tests.pytest","Tue Mar 17 08:53:00 UTC 2026","passed","Tue Mar 17 08:53:00 UTC 2026","TestUserAuthentication","test_pytest_markers","",""
"","0","test_critical_login","tests.pytest","Tue Mar 17 08:53:00 UTC 2026","passed","Tue Mar 17 08:53:00 UTC 2026","","test_pytest_markers","",""
"","13","Get User Me","tests.users","Tue Mar 17 08:53:01 UTC 2026","passed","Tue Mar 17 08:53:01 UTC 2026","TestUsers","test_users","",""
