"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get User Me","tests.users","Fri Mar 20 17:52:54 UTC 2026","passed","Fri Mar 20 17:52:54 UTC 2026","TestUsers","test_users","",""
"","301","Update course","tests.courses","Fri Mar 20 17:52:48 UTC 2026","passed","Fri Mar 20 17:52:49 UTC 2026","TestCourses","test_courses","",""
"","0","test_logout","tests.pytest","Fri Mar 20 17:52:52 UTC 2026","passed","Fri Mar 20 17:52:52 UTC 2026","TestUserAuthentication","test_pytest_markers","",""
"","0","test_login","tests.pytest","Fri Mar 20 17:52:53 UTC 2026","passed","Fri Mar 20 17:52:53 UTC 2026","TestUserAuthentication","test_pytest_markers","",""
"","526","Create User","tests.users","Fri Mar 20 17:52:52 UTC 2026","passed","Fri Mar 20 17:52:53 UTC 2026","TestUsers","test_users","",""
"","15","Get File","tests.files","Fri Mar 20 17:52:51 UTC 2026","passed","Fri Mar 20 17:52:51 UTC 2026","TestFiles","test_files","",""
"","0","test_password_reset","tests.pytest","Fri Mar 20 17:52:52 UTC 2026","passed","Fri Mar 20 17:52:52 UTC 2026","TestUserAuthentication","test_pytest_markers","",""
"","22","Delete File","tests.files","Fri Mar 20 17:52:52 UTC 2026","passed","Fri Mar 20 17:52:52 UTC 2026","TestFiles","test_files","",""
"","285","Login with email and password","tests.authentication","Fri Mar 20 17:52:47 UTC 2026","passed","Fri Mar 20 17:52:48 UTC 2026","TestAuthentication","test_authentication","",""
"","299","Get courses","tests.courses","Fri Mar 20 17:52:49 UTC 2026","passed","Fri Mar 20 17:52:49 UTC 2026","TestCourses","test_courses","",""
"","258","Create File with Empty Directory","tests.files","Fri Mar 20 17:52:52 UTC 2026","skipped","Fri Mar 20 17:52:52 UTC 2026","TestFiles","test_files","",""
"","0","test_regression_case","tests.pytest","Fri Mar 20 17:52:52 UTC 2026","passed","Fri Mar 20 17:52:52 UTC 2026","","test_pytest_markers","",""
"","259","Create File","tests.files","Fri Mar 20 17:52:50 UTC 2026","passed","Fri Mar 20 17:52:50 UTC 2026","TestFiles","test_files","",""
"","1","test_critical_login","tests.pytest","Fri Mar 20 17:52:52 UTC 2026","passed","Fri Mar 20 17:52:52 UTC 2026","","test_pytest_markers","",""
"","0","Create course","tests.courses","Fri Mar 20 17:52:50 UTC 2026","passed","Fri Mar 20 17:52:50 UTC 2026","TestCourses","test_courses","",""
"","0","test_forgot_password","tests.pytest","Fri Mar 20 17:52:52 UTC 2026","passed","Fri Mar 20 17:52:52 UTC 2026","TestUserInterface","test_pytest_markers","",""
"","268","Create File with Empty Filename","tests.files","Fri Mar 20 17:52:50 UTC 2026","passed","Fri Mar 20 17:52:51 UTC 2026","TestFiles","test_files","",""
"","263","Get File with Invalid File Id","tests.files","Fri Mar 20 17:52:53 UTC 2026","passed","Fri Mar 20 17:52:53 UTC 2026","TestFiles","test_files","",""
